table_name,field_name,language,translation,record_id,record_sub_id,field_value
stops,stop_name,ja-Hrkt,ジョウドウジシタ,116 1,,
stops,stop_name,en,Jodoji-shita (Jodoji Temple),116 1,,
stops,stop_name,ko,조도지 절,116 1,,
stops,stop_name,zh-cn,净土寺下,116 1,,
stops,stop_name,zh-tw,凈土寺下,116 1,,
stops,stop_name,ja,浄土寺下,116 2,,
stops,stop_name,ja-Hrkt,ジョウドウジシタ,116 2,,
stops,stop_name,en,Jodoji-shita (Jodoji Temple),116 2,,
stops,stop_name,ko,조도지 절,116 2,,
stops,stop_name,zh-cn,净土寺下,116 2,,
stops,stop_name,zh-tw,凈土寺下,116 2,,
stops,stop_name,ja,浄土寺下,116 3,,
stops,stop_name,ja-Hrkt,ジョウドウジシタ,116 3,,
stops,stop_name,en,Jodoji-shita (Jodoji Temple),116 3,,
stops,stop_name,ko,조도지 절,116 3,,
stops,stop_name,zh-cn,净土寺下,116 3,,
stops,stop_name,zh-tw,凈土寺下,116 3,,
stops,stop_name,ja,浄土寺下,116 4,,
stops,stop_name,ja-Hrkt,ジョウドウジシタ,116 4,,
stops,stop_name,en,Jodoji-shita (Jodoji Temple),116 4,,
stops,stop_name,ko,조도지 절,116 4,,
stops,stop_name,zh-cn,净土寺下,116 4,,
stops,stop_name,zh-tw,凈土寺下,116 4,,
stops,stop_name,ja,如水館前,117 1,,
stops,stop_name,ja-Hrkt,ジョスイカンマエ,117 1,,
stops,stop_name,en,Josuikan-mae (Josuikan Junior High School and High School),117 1,,
stops,stop_name,ko,조스이칸 마에,117 1,,
stops,stop_name,zh-cn,如水馆前,117 1,,
stops,stop_name,zh-tw,如水館前,117 1,,
stops,stop_name,ja,如水館前,117 10,,
stops,stop_name,ja-Hrkt,ジョスイカンマエ,117 10,,
stops,stop_name,en,Josuikan-mae (Josuikan Junior High School and High School),117 10,,
stops,stop_name,ko,조스이칸 마에,117 10,,
stops,stop_name,zh-cn,如水馆前,117 10,,
stops,stop_name,zh-tw,如水館前,117 10,,
stops,stop_name,ja,白方,118 1,,
stops,stop_name,ja-Hrkt,シラカタ,118 1,,
stops,stop_name,en,Shirakata,118 1,,
stops,stop_name,ko,시라카타,118 1,,
stops,stop_name,zh-cn,白方,118 1,,
stops,stop_name,zh-tw,白方,118 1,,
stops,stop_name,ja,白江,119 1,,
stops,stop_name,ja-Hrkt,シロエ,119 1,,
stops,stop_name,en,Shiroe,119 1,,
stops,stop_name,ko,시로에,119 1,,
stops,stop_name,zh-cn,白江,119 1,,
stops,stop_name,zh-tw,白江,119 1,,
stops,stop_name,ja,白江,119 2,,
stops,stop_name,ja-Hrkt,シロエ,119 2,,
stops,stop_name,en,Shiroe,119 2,,
stops,stop_name,ko,시로에,119 2,,
stops,stop_name,zh-cn,白江,119 2,,
stops,stop_name,zh-tw,白江,119 2,,
stops,stop_name,ja,今免,12 1,,
stops,stop_name,ja-Hrkt,イマメン,12 1,,
stops,stop_name,en,Imamen,12 1,,
stops,stop_name,ko,이마멘,12 1,,
stops,stop_name,zh-cn,今免,12 1,,
stops,stop_name,zh-tw,今免,12 1,,
stops,stop_name,ja,今免,12 2,,
stops,stop_name,ja-Hrkt,イマメン,12 2,,
stops,stop_name,en,Imamen,12 2,,
stops,stop_name,ko,이마멘,12 2,,
stops,stop_name,zh-cn,今免,12 2,,
stops,stop_name,zh-tw,今免,12 2,,
stops,stop_name,ja,新尾道駅,120 1,,
stops,stop_name,ja-Hrkt,シンオノミチエキ,120 1,,
stops,stop_name,en,Shin-onomichi Sta.,120 1,,
stops,stop_name,ko,신오노미치 역,120 1,,
stops,stop_name,zh-cn,新尾道站,120 1,,
stops,stop_name,zh-tw,新尾道站,120 1,,
stops,stop_name,ja,新尾道駅,120 10,,
stops,stop_name,ja-Hrkt,シンオノミチエキ,120 10,,
stops,stop_name,en,Shin-onomichi Sta.,120 10,,
stops,stop_name,ko,신오노미치 역,120 10,,
stops,stop_name,zh-cn,新尾道站,120 10,,
