table_name,field_name,language,translation,record_id,record_sub_id,field_value,station_sid,course_sid
stops,stop_name,zh-cn,净土寺下,116 1,,,75988845-897a-49e3-b4f8-92b989fd0b99,
stops,stop_name,zh-tw,凈土寺下,116 1,,,75988845-897a-49e3-b4f8-92b989fd0b99,
stops,stop_name,ja,浄土寺下,116 2,,,e3a91057-93ee-4f3c-bc54-eec84a784e94,
stops,stop_name,ja-Hrkt,ジョウドウジシタ,116 2,,,e3a91057-93ee-4f3c-bc54-eec84a784e94,
stops,stop_name,en,Jodoji-shita (Jodoji Temple),116 2,,,e3a91057-93ee-4f3c-bc54-eec84a784e94,
stops,stop_name,ko,조도지 절,116 2,,,e3a91057-93ee-4f3c-bc54-eec84a784e94,
stops,stop_name,zh-cn,净土寺下,116 2,,,e3a91057-93ee-4f3c-bc54-eec84a784e94,
stops,stop_name,zh-tw,凈土寺下,116 2,,,e3a91057-93ee-4f3c-bc54-eec84a784e94,
stops,stop_name,ja,浄土寺下,116 3,,,0e45470f-309a-4996-ada3-9bd0699886b1,
stops,stop_name,ja-Hrkt,ジョウドウジシタ,116 3,,,0e45470f-309a-4996-ada3-9bd0699886b1,
stops,stop_name,en,Jodoji-shita (Jodoji Temple),116 3,,,0e45470f-309a-4996-ada3-9bd0699886b1,
stops,stop_name,ko,조도지 절,116 3,,,0e45470f-309a-4996-ada3-9bd0699886b1,
stops,stop_name,zh-cn,净土寺下,116 3,,,0e45470f-309a-4996-ada3-9bd0699886b1,
stops,stop_name,zh-tw,凈土寺下,116 3,,,0e45470f-309a-4996-ada3-9bd0699886b1,
stops,stop_name,ja,浄土寺下,116 4,,,1c4edfad-bf2c-44ec-84b7-a5fd4ad73633,
stops,stop_name,ja-Hrkt,ジョウドウジシタ,116 4,,,1c4edfad-bf2c-44ec-84b7-a5fd4ad73633,
stops,stop_name,en,Jodoji-shita (Jodoji Temple),116 4,,,1c4edfad-bf2c-44ec-84b7-a5fd4ad73633,
stops,stop_name,ko,조도지 절,116 4,,,1c4edfad-bf2c-44ec-84b7-a5fd4ad73633,
stops,stop_name,zh-cn,净土寺下,116 4,,,1c4edfad-bf2c-44ec-84b7-a5fd4ad73633,
stops,stop_name,zh-tw,凈土寺下,116 4,,,1c4edfad-bf2c-44ec-84b7-a5fd4ad73633,
stops,stop_name,ja,如水館前,117 1,,,863e0623-7f51-4611-b12f-a907c570e74b,
stops,stop_name,ja-Hrkt,ジョスイカンマエ,117 1,,,863e0623-7f51-4611-b12f-a907c570e74b,
stops,stop_name,en,Josuikan-mae (Josuikan Junior High School and High School),117 1,,,863e0623-7f51-4611-b12f-a907c570e74b,
stops,stop_name,ko,조스이칸 마에,117 1,,,863e0623-7f51-4611-b12f-a907c570e74b,
stops,stop_name,zh-cn,如水馆前,117 1,,,863e0623-7f51-4611-b12f-a907c570e74b,
stops,stop_name,zh-tw,如水館前,117 1,,,863e0623-7f51-4611-b12f-a907c570e74b,
stops,stop_name,ja,如水館前,117 10,,,656708e9-a8bd-4157-aef8-01282551e8e5,
stops,stop_name,ja-Hrkt,ジョスイカンマエ,117 10,,,656708e9-a8bd-4157-aef8-01282551e8e5,
