trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
7c9ba561-e17a-4139-8173-1e3c050376a8,20:52:00,20:52:00,5880 2,22,阿戸学校,0,0,,
7c9ba561-e17a-4139-8173-1e3c050376a8,20:53:00,20:53:00,5890 2,23,阿戸学校,0,0,,
7c9ba561-e17a-4139-8173-1e3c050376a8,20:53:00,20:53:00,5900 2,24,阿戸学校,0,0,,
7c9ba561-e17a-4139-8173-1e3c050376a8,20:54:00,20:54:00,5910 2,25,阿戸学校,0,0,,
7c9ba561-e17a-4139-8173-1e3c050376a8,20:55:00,20:55:00,5920 2,26,阿戸学校,0,0,,
7c9ba561-e17a-4139-8173-1e3c050376a8,20:55:00,20:55:00,5930 2,27,阿戸学校,0,0,,
7c9ba561-e17a-4139-8173-1e3c050376a8,20:56:00,20:56:00,5940 2,28,阿戸学校,0,0,,
7c9ba561-e17a-4139-8173-1e3c050376a8,20:56:00,20:56:00,5950 2,29,阿戸学校,0,0,,
7c9ba561-e17a-4139-8173-1e3c050376a8,20:57:00,20:57:00,5960 2,30,阿戸学校,0,0,,
7c9ba561-e17a-4139-8173-1e3c050376a8,21:02:00,21:02:00,5970 2,31,阿戸学校,1,0,,
ea55f669-1f9a-448b-9510-21b0afd63b26,08:04:00,08:04:00,5970 1,1,熊野営業所,0,1,,
ea55f669-1f9a-448b-9510-21b0afd63b26,08:04:00,08:04:00,5960 1,2,熊野営業所,0,0,,
ea55f669-1f9a-448b-9510-21b0afd63b26,08:04:00,08:04:00,5950 1,3,熊野営業所,0,0,,
ea55f669-1f9a-448b-9510-21b0afd63b26,08:05:00,08:05:00,5940 1,4,熊野営業所,0,0,,
ea55f669-1f9a-448b-9510-21b0afd63b26,08:06:00,08:06:00,5930 1,5,熊野営業所,0,0,,
ea55f669-1f9a-448b-9510-21b0afd63b26,08:06:00,08:06:00,5920 1,6,熊野営業所,0,0,,
ea55f669-1f9a-448b-9510-21b0afd63b26,08:07:00,08:07:00,5910 1,7,熊野営業所,0,0,,
ea55f669-1f9a-448b-9510-21b0afd63b26,08:08:00,08:08:00,5900 1,8,熊野営業所,0,0,,
ea55f669-1f9a-448b-9510-21b0afd63b26,08:08:00,08:08:00,5890 1,9,熊野営業所,0,0,,
ea55f669-1f9a-448b-9510-21b0afd63b26,08:09:00,08:09:00,5880 1,10,熊野営業所,0,0,,
ea55f669-1f9a-448b-9510-21b0afd63b26,08:09:00,08:09:00,5870 1,11,熊野営業所,0,0,,
ea55f669-1f9a-448b-9510-21b0afd63b26,08:10:00,08:10:00,5860 1,12,熊野営業所,0,0,,
ea55f669-1f9a-448b-9510-21b0afd63b26,08:10:00,08:10:00,5850 1,13,熊野営業所,0,0,,
ea55f669-1f9a-448b-9510-21b0afd63b26,08:11:00,08:11:00,5840 1,14,熊野営業所,0,0,,
ea55f669-1f9a-448b-9510-21b0afd63b26,08:11:00,08:11:00,5830 1,15,熊野営業所,0,0,,
