fare_id,route_id,origin_id,destination_id,contains_id
1000020342131_150_00,1830949550,25050 1,5080 1,
1000020342131_150_00,1830949550,5050 1,25400 1,
1000020342131_150_00,1830949550,5090 1,99105 1,
1000020342131_150_00,1830949550,5090 1,5050 1,
1000020342131_150_00,1830949550,99104 1,5040 1,
1000020342131_150_00,1830949550,3001 1,2320 1,
1000020342131_150_00,1830949550,3001 1,3000 1,
1000020342131_150_00,1830949550,5060 1,2400 1,
1000020342131_150_00,1830949550,5060 1,25400 1,
1000020342131_150_00,1830949550,5060 1,2320 2,
1000020342131_150_00,1830949550,25400 1,3000 1,
1000020342131_150_00,1830949550,5110 1,4983 1,
1000020342131_150_00,1830949550,5110 1,5020 1,
1000020342131_150_00,1830949550,2320 2,3000 1,
1000020342131_150_00,1830949550,99106 1,2400 1,
1000020342131_150_00,1830949550,99106 1,5060 1,
1000020342131_150_00,1830949550,5040 1,99119 1,
1000020342131_150_00,1830949550,5080 1,5020 1,
1000020342131_150_00,3277890833,750 2,2820 2,
1000020342131_150_00,3277890833,750 2,260 0,
1000020342131_150_00,3277890833,750 50,740 1,
1000020342131_150_00,3277890833,24020 3,19400 50,
1000020342131_150_00,3277890833,3000 1,19400 50,
1000020342131_150_00,3277890833,2870 1,2860 1,
1000020342131_150_00,3277890833,4981 2,260 0,
1000020342131_150_00,3277890833,4981 2,2870 1,
1000020342131_150_00,3277890833,790 2,19400 50,
1000020342131_150_00,3277890833,772 2,2810 2,
1000020342131_150_00,3277890833,772 2,790 2,
1000020342131_150_00,3277890833,2860 1,780 2,
1000020342131_150_00,3277890833,2860 1,2830 2,
1000020342131_150_00,730850706,2480 2,4983 50,
1000020342131_150_00,730850706,2480 2,3005 1,
1000020342131_150_00,730850706,2480 2,25400 0,
1000020342131_150_00,730850706,1510 1,4981 50,
1000020342131_150_00,730850706,1510 1,25400 0,
1000020342131_150_00,730850706,2470 2,3000 1,
